# Molecular kinetic energy data (excluding photon particle)
# time(ps) timestep kinetic_energy(a.u.) temperature(K) avg_vel_magnitude(a.u.)
0.016689 494 4.178101 1759.015193 0.000700
0.016722 495 4.201252 1768.761934 0.000703
0.016756 496 4.223757 1778.236640 0.000705
0.016790 497 4.244916 1787.144973 0.000707
0.016824 498 4.265436 1795.783977 0.000709
0.016858 499 4.285004 1804.022219 0.000711
0.016892 500 4.303704 1811.895069 0.000713
0.016926 501 4.321545 1819.406433 0.000715
0.016960 502 4.338702 1826.629410 0.000716
0.016994 503 4.354884 1833.442296 0.000718
0.017028 504 4.370141 1839.865722 0.000719
0.017062 505 4.384429 1845.880973 0.000720
0.017096 506 4.397825 1851.520836 0.000721
0.017130 507 4.410460 1856.840245 0.000722
0.017163 508 4.422268 1861.811724 0.000723
0.017197 509 4.433100 1866.371856 0.000724
0.017231 510 4.442835 1870.470550 0.000725
0.017265 511 4.451728 1874.214625 0.000726
0.017299 512 4.459672 1877.559040 0.000726
0.017333 513 4.466907 1880.604885 0.000727
0.017367 514 4.473069 1883.199320 0.000727
0.017401 515 4.478449 1885.464443 0.000727
0.017435 516 4.483136 1887.437426 0.000727
0.017469 517 4.486765 1888.965411 0.000728
0.017503 518 4.489489 1890.112012 0.000728
0.017537 519 4.491555 1890.982190 0.000728
0.017570 520 4.492434 1891.352253 0.000727
0.017604 521 4.492477 1891.370253 0.000727
0.017638 522 4.491966 1891.154937 0.000727
0.017672 523 4.490378 1890.486266 0.000727
0.017706 524 4.487922 1889.452293 0.000726
0.017740 525 4.484846 1888.157303 0.000726
0.017774 526 4.480477 1886.318234 0.000725
0.017808 527 4.475414 1884.186642 0.000724
0.017842 528 4.469852 1881.844846 0.000724
0.017876 529 4.463503 1879.172009 0.000723
0.017910 530 4.456220 1876.105739 0.000722
0.017944 531 4.448511 1872.860168 0.000721
0.017978 532 4.439983 1869.269957 0.000720
0.018011 533 4.430885 1865.439568 0.000719
0.018045 534 4.420818 1861.201016 0.000718
0.018079 535 4.410025 1856.657334 0.000717
0.018113 536 4.398651 1851.868831 0.000716
0.018147 537 4.386241 1846.643791 0.000715
0.018181 538 4.373522 1841.289062 0.000714
0.018215 539 4.360331 1835.735433 0.000713
0.018249 540 4.346205 1829.788593 0.000711
0.018283 541 4.331631 1823.652636 0.000710
0.018317 542 4.316498 1817.281651 0.000709
0.018351 543 4.300562 1810.572414 0.000708
0.018385 544 4.284395 1803.766044 0.000707
0.018418 545 4.267465 1796.638355 0.000705
0.018452 546 4.250263 1789.396041 0.000704
0.018486 547 4.232558 1781.942067 0.000703
0.018520 548 4.214378 1774.288039 0.000702
0.018554 549 4.195706 1766.427001 0.000700
0.018588 550 4.176806 1758.470210 0.000699
0.018622 551 4.157222 1750.225222 0.000698
0.018656 552 4.137480 1741.913475 0.000697
0.018690 553 4.117211 1733.380262 0.000695
0.018724 554 4.096535 1724.675446 0.000694
0.018758 555 4.075838 1715.961680 0.000693
0.018792 556 4.054997 1707.187458 0.000692
0.018826 557 4.033493 1698.134278 0.000690
0.018859 558 4.011645 1688.935814 0.000689
0.018893 559 3.989549 1679.633207 0.000688
0.018927 560 3.967462 1670.334469 0.000686
0.018961 561 3.944962 1660.861827 0.000685
0.018995 562 3.922539 1651.421636 0.000683
0.019029 563 3.899692 1641.802561 0.000682
0.019063 564 3.876934 1632.221375 0.000680
0.019097 565 3.853936 1622.539174 0.000679
0.019131 566 3.830720 1612.764912 0.000677
0.019165 567 3.807564 1603.015935 0.000676
0.019199 568 3.784506 1593.308470 0.000674
0.019233 569 3.760890 1583.365917 0.000672
0.019266 570 3.737570 1573.548091 0.000671
0.019300 571 3.714202 1563.709912 0.000669
