# CORRECTED Energy tracking following working EnergyContributionTracker pattern
# Output period: 10 steps
# All energies in Hartree (atomic units)
# Column definitions:
#   time(ps): simulation time in picoseconds
#   timestep: simulation timestep number
#   harmonic_energy: harmonic bond potential energy
#   lj_energy: Lennard-Jones potential energy
#   ewald_short_energy: short-range Coulomb energy
#   ewald_long_energy: long-range Coulomb energy
#   cavity_harmonic_energy: cavity harmonic potential energy
#   cavity_coupling_energy: cavity-molecule coupling energy
#   cavity_dipole_self_energy: dipole self-energy
#   cavity_total_potential_energy: total cavity potential energy
#   molecular_kinetic_energy: molecular kinetic energy
#   cavity_kinetic_energy: cavity kinetic energy
#   total_kinetic_energy: total kinetic energy
#   total_potential_energy: total potential energy
#   system_total_energy: total system energy (KE + PE)
#   molecular_reservoir_energy: molecular reservoir energy
#   cavity_reservoir_energy: cavity reservoir energy
#   total_reservoir_energy: total reservoir energy
#   universe_total_energy: universe total energy (system + reservoir) [CONSERVED]
#   temperature: kinetic temperature (K)
time(ps) timestep harmonic_energy lj_energy ewald_short_energy ewald_long_energy cavity_harmonic_energy cavity_coupling_energy cavity_dipole_self_energy cavity_total_potential_energy molecular_kinetic_energy cavity_kinetic_energy total_kinetic_energy total_potential_energy system_total_energy molecular_reservoir_energy cavity_reservoir_energy total_reservoir_energy universe_total_energy temperature
0.005002 400 0.570212 -0.728389 -0.327077 -0.388396 16.788794 -19.183675 5.480166 3.085285 1.326082 5.816310 7.142392 2.211635 9.354028 0.003002 0.009857 0.012859 9.366887 186.097233
0.005113 410 0.579413 -0.728272 -0.327009 -0.388333 17.612939 -19.505402 5.400426 3.507963 1.254635 5.455775 6.710410 2.643763 9.354173 0.002974 0.009567 0.012540 9.366713 176.070548
0.005225 420 0.586398 -0.728133 -0.326961 -0.388293 18.430799 -19.814974 5.325903 3.941728 1.185452 5.083558 6.269009 3.084739 9.353748 0.002880 0.010204 0.013084 9.366832 166.361658
0.005336 430 0.591053 -0.727974 -0.326934 -0.388275 19.239022 -20.112844 5.256718 4.382897 1.119147 4.702882 5.822029 3.530768 9.352796 0.003000 0.010902 0.013902 9.366698 157.056692
0.005449 440 0.593288 -0.727794 -0.326928 -0.388280 20.034580 -20.399628 5.192963 4.827915 1.056909 4.317863 5.374773 3.978201 9.352974 0.002998 0.010727 0.013725 9.366700 148.322529
0.005561 450 0.593030 -0.727594 -0.326943 -0.388309 20.814330 -20.675912 5.134736 5.273154 0.999491 3.929560 4.929051 4.423337 9.352388 0.002965 0.011341 0.014306 9.366694 140.264620
0.005675 460 0.590230 -0.727375 -0.326980 -0.388363 21.574560 -20.942125 5.082190 5.714625 0.947604 3.542486 4.490090 4.862137 9.352227 0.003060 0.011502 0.014561 9.366788 132.983108
0.005789 470 0.584864 -0.727137 -0.327039 -0.388441 22.311671 -21.198744 5.035465 6.148392 0.902346 3.159293 4.061639 5.290639 9.352277 0.003015 0.011429 0.014443 9.366721 126.631753
0.005904 480 0.576936 -0.726881 -0.327121 -0.388544 23.022295 -21.446345 4.994700 6.570649 0.864162 2.783105 3.647267 5.705039 9.352306 0.003177 0.011313 0.014490 9.366796 121.273177
0.006020 490 0.566474 -0.726607 -0.327226 -0.388674 23.702812 -21.685411 4.960059 6.977460 0.834253 2.416182 3.250436 6.101427 9.351863 0.003120 0.011755 0.014875 9.366737 117.075886
0.006137 500 0.553537 -0.726315 -0.327354 -0.388831 24.349536 -21.916411 4.931732 7.364857 0.812881 2.062772 2.875653 6.475894 9.351548 0.003338 0.011966 0.015304 9.366852 114.076551
0.006255 510 0.538213 -0.726004 -0.327507 -0.389016 24.958729 -22.139795 4.909937 7.728871 0.801197 1.725699 2.526896 6.824556 9.351452 0.003405 0.011985 0.015390 9.366842 112.436867
0.006375 520 0.520622 -0.725676 -0.327685 -0.389230 25.526454 -22.355947 4.894932 8.065439 0.799944 1.408041 2.207985 7.143471 9.351456 0.003291 0.012056 0.015347 9.366803 112.261020
0.006497 530 0.500930 -0.725328 -0.327889 -0.389474 26.048364 -22.565095 4.887027 8.370296 0.809755 1.113466 1.923221 7.428535 9.351756 0.003048 0.011987 0.015035 9.366791 113.637869
0.006621 540 0.479354 -0.724961 -0.328120 -0.389751 26.519878 -22.767385 4.886584 8.639078 0.830794 0.845391 1.676185 7.675601 9.351786 0.003164 0.011817 0.014981 9.366766 116.590419
0.006746 550 0.456183 -0.724573 -0.328379 -0.390060 26.935783 -22.962664 4.894015 8.867134 0.864016 0.607214 1.471230 7.880305 9.351535 0.003259 0.011997 0.015256 9.366791 121.252631
0.006874 560 0.431763 -0.724165 -0.328668 -0.390404 27.290781 -23.150686 4.909778 9.049873 0.910006 0.403110 1.313116 8.038400 9.351516 0.003246 0.012030 0.015276 9.366792 127.706688
0.007005 570 0.406519 -0.723734 -0.328987 -0.390784 27.579453 -23.331063 4.934387 9.182777 0.968561 0.236662 1.205223 8.145791 9.351014 0.003717 0.012061 0.015778 9.366792 135.924143
0.007138 580 0.380947 -0.723279 -0.329339 -0.391202 27.796077 -23.503190 4.968435 9.261322 1.041092 0.111592 1.152685 8.198449 9.351134 0.003565 0.012101 0.015666 9.366800 146.102842
0.007274 590 0.355665 -0.722798 -0.329725 -0.391660 27.934525 -23.666014 5.012544 9.281055 1.126910 0.031636 1.158546 8.192537 9.351083 0.003536 0.012182 0.015718 9.366801 158.146140
0.007413 600 0.331387 -0.722289 -0.330146 -0.392160 27.988879 -23.818285 5.067391 9.237984 1.225932 0.000347 1.226279 8.124777 9.351056 0.003570 0.012172 0.015742 9.366798 172.042579
0.007555 610 0.308916 -0.721749 -0.330604 -0.392703 27.953169 -23.958532 5.133788 9.128426 1.337758 0.020778 1.358537 7.992286 9.350822 0.003793 0.012183 0.015977 9.366799 187.735813
0.007701 620 0.289203 -0.721175 -0.331101 -0.393292 27.821441 -24.084639 5.212535 8.949337 1.461861 0.095672 1.557532 7.792971 9.350504 0.004030 0.012252 0.016282 9.366786 205.151858
0.007851 630 0.273303 -0.720564 -0.331639 -0.393930 27.587816 -24.194110 5.304568 8.698275 1.597184 0.227609 1.824794 7.525445 9.350239 0.004409 0.012120 0.016529 9.366768 224.142639
0.008004 640 0.262418 -0.719912 -0.332219 -0.394616 27.247455 -24.283670 5.410663 8.374448 1.742880 0.417848 2.160728 7.190120 9.350848 0.004153 0.011796 0.015949 9.366796 244.589010
0.008162 650 0.257822 -0.719215 -0.332841 -0.395352 26.796470 -24.349744 5.531702 7.978428 1.896184 0.665815 2.561999 6.788841 9.350840 0.004091 0.011860 0.015951 9.366791 266.103016
0.008323 660 0.260855 -0.718469 -0.333508 -0.396139 26.232582 -24.388175 5.668457 7.512864 2.054753 0.970504 3.025257 6.325604 9.350861 0.004038 0.011880 0.015918 9.366778 288.356026
0.008488 670 0.272853 -0.717670 -0.334217 -0.396975 25.556060 -24.394282 5.821424 6.983203 2.215211 1.328000 3.543212 5.807192 9.350404 0.004145 0.012275 0.016420 9.366824 310.874113
0.008655 680 0.294763 -0.716826 -0.334960 -0.397850 24.778650 -24.363722 5.989030 6.403958 2.373008 1.729213 4.102221 5.249085 9.351305 0.003642 0.011732 0.015374 9.366679 333.018723
0.008821 690 0.326929 -0.715944 -0.335725 -0.398749 23.917504 -24.293690 6.169042 5.792856 2.521868 2.160055 4.681924 4.669366 9.351290 0.003667 0.011826 0.015493 9.366783 353.909194
0.008985 700 0.368955 -0.715035 -0.336501 -0.399659 22.995757 -24.183699 6.358345 5.170403 2.657572 2.605078 5.262650 4.088164 9.350814 0.003758 0.012156 0.015914 9.366728 372.953299
0.009144 710 0.419854 -0.714110 -0.337274 -0.400564 22.036905 -24.035162 6.553746 4.555489 2.776812 3.050308 5.827120 3.523396 9.350516 0.003897 0.012329 0.016227 9.366742 389.686922
0.009298 720 0.478124 -0.713182 -0.338034 -0.401451 21.064646 -23.851495 6.751852 3.965002 2.877342 3.481812 6.359154 2.990459 9.349613 0.004271 0.012797 0.017067 9.366680 403.794902
0.009446 730 0.542335 -0.712257 -0.338776 -0.402315 20.094915 -23.636321 6.950550 3.409143 2.959135 3.892346 6.851481 2.498132 9.349612 0.004623 0.012560 0.017183 9.366796 415.273422
0.009588 740 0.611413 -0.711336 -0.339497 -0.403154 19.135791 -23.392405 7.149055 2.892440 3.023266 4.275922 7.299188 2.049865 9.349053 0.004664 0.013010 0.017673 9.366726 424.273379
0.009725 750 0.684435 -0.710419 -0.340200 -0.403969 18.192458 -23.121998 7.346903 2.417362 3.069980 4.631261 7.701240 1.647208 9.348449 0.005164 0.013207 0.018371 9.366820 430.828986
0.009858 760 0.760579 -0.709508 -0.340884 -0.404761 17.268790 -22.827166 7.543740 1.985364 3.101549 4.955626 8.057175 1.290789 9.347965 0.004928 0.013932 0.018860 9.366824 435.259335
0.009988 770 0.839129 -0.708602 -0.341549 -0.405531 16.367325 -22.509644 7.739338 1.597019 3.117952 5.249133 8.367085 0.980466 9.347551 0.005073 0.014114 0.019187 9.366738 437.561210
0.010113 780 0.919436 -0.707701 -0.342197 -0.406278 15.489909 -22.170975 7.933496 1.252430 3.120638 5.510803 8.631441 0.715690 9.347130 0.005218 0.014390 0.019608 9.366738 437.938151
0.010236 790 1.000914 -0.706807 -0.342827 -0.407004 14.637851 -21.812556 8.126047 0.951341 3.111243 5.741097 8.852339 0.495616 9.347956 0.004767 0.014116 0.018883 9.366838 436.619669
0.010356 800 1.083038 -0.705919 -0.343440 -0.407710 13.811999 -21.435643 8.316864 0.693220 3.089737 5.939300 9.029038 0.319188 9.348226 0.004747 0.013756 0.018503 9.366728 433.601694
0.010474 810 1.165304 -0.705038 -0.344037 -0.408396 13.013066 -21.041442 8.505779 0.477402 3.057298 6.104705 9.162003 0.185236 9.347239 0.004948 0.014522 0.019470 9.366709 429.049290
0.010590 820 1.247239 -0.704166 -0.344617 -0.409061 12.241595 -20.631131 8.692613 0.303077 3.015254 6.239286 9.254540 0.092473 9.347012 0.004987 0.014718 0.019705 9.366717 423.148933
0.010705 830 1.328396 -0.703303 -0.345179 -0.409707 11.497996 -20.205879 8.877184 0.169301 2.964671 6.343469 9.308140 0.039507 9.347647 0.004718 0.014331 0.019049 9.366696 416.050333
0.010817 840 1.408330 -0.702451 -0.345725 -0.410333 10.782677 -19.766904 9.059249 0.075022 2.905969 6.416750 9.322718 0.024843 9.347561 0.004645 0.014668 0.019313 9.366875 407.812331
0.010928 850 1.486633 -0.701612 -0.346254 -0.410938 10.095882 -19.315429 9.238588 0.019041 2.839886 6.459502 9.299388 0.046869 9.346258 0.004935 0.015514 0.020449 9.366707 398.538609
0.011038 860 1.562922 -0.700787 -0.346764 -0.411524 9.437681 -18.852632 9.414983 0.000031 2.768217 6.474193 9.242410 0.103878 9.346287 0.004685 0.015680 0.020364 9.366652 388.480810
0.011147 870 1.636837 -0.699978 -0.347257 -0.412088 8.808006 -18.379655 9.588212 0.016563 2.690764 6.460851 9.151615 0.194076 9.345691 0.004969 0.016098 0.021067 9.366759 377.611347
0.011255 880 1.708028 -0.699186 -0.347731 -0.412632 8.206786 -17.897708 9.758027 0.067105 2.609349 6.420732 9.030081 0.315584 9.345665 0.004844 0.016260 0.021104 9.366769 366.185856
0.011362 890 1.776173 -0.698414 -0.348186 -0.413154 7.633840 -17.408001 9.924185 0.150024 2.523995 6.354466 8.878461 0.466444 9.344904 0.005148 0.016639 0.021787 9.366692 354.207622
0.011468 900 1.840978 -0.697663 -0.348621 -0.413655 7.088832 -16.911677 10.086458 0.263614 2.436415 6.264681 8.701096 0.644653 9.345749 0.005011 0.015845 0.020856 9.366605 341.917031
0.011573 910 1.902167 -0.696936 -0.349037 -0.414133 6.571384 -16.409903 10.244607 0.406088 2.346883 6.150015 8.496898 0.848149 9.345047 0.004990 0.016652 0.021642 9.366689 329.352477
0.011678 920 1.959484 -0.696233 -0.349432 -0.414589 6.081067 -15.903874 10.398397 0.575590 2.256346 6.014175 8.270521 1.074820 9.345342 0.004955 0.016337 0.021292 9.366634 316.646828
