# frequency_cm-1 spectrum_qm_au
1.307589632640599291e+02 1.650645276163571800e+16
1.310925320478968104e+02 1.651794559638231800e+16
1.314261008317336916e+02 1.652911503837567600e+16
1.317596696155705729e+02 1.653996083163915200e+16
1.320932383994074542e+02 1.655048281900282800e+16
1.324268071832443354e+02 1.656068094202767600e+16
1.327603759670812451e+02 1.657055524084803400e+16
1.330939447509181264e+02 1.658010585393360400e+16
1.334275135347550076e+02 1.658933301777155000e+16
1.337610823185919173e+02 1.659823706646925600e+16
1.340946511024287986e+02 1.660681843127939800e+16
1.344282198862656799e+02 1.661507764004742000e+16
1.347617886701025611e+02 1.662301531658356400e+16
1.350953574539394708e+02 1.663063217996001600e+16
1.354289262377763521e+02 1.663792904373481200e+16
1.357624950216132333e+02 1.664490681510434400e+16
1.360960638054501146e+02 1.665156649398506000e+16
1.364296325892870243e+02 1.665790917202727000e+16
1.367632013731239056e+02 1.666393603156168000e+16
1.370967701569607868e+02 1.666964834448141200e+16
1.374303389407976681e+02 1.667504747106046000e+16
1.377639077246345494e+02 1.668013485871155600e+16
1.380974765084714591e+02 1.668491204068474000e+16
1.384310452923083403e+02 1.668938063470905000e+16
1.387646140761452216e+02 1.669354234157938800e+16
1.390981828599821029e+02 1.669739894369097400e+16
1.394317516438189841e+02 1.670095230352337200e+16
1.397653204276558938e+02 1.670420436207652200e+16
1.400988892114927751e+02 1.670715713726115600e+16
1.404324579953296563e+02 1.670981272224600000e+16
1.407660267791665376e+02 1.671217328376385600e+16
1.410995955630034189e+02 1.671424106037951800e+16
1.414331643468403286e+02 1.671601836072142600e+16
1.417667331306772098e+02 1.671750756167976400e+16
1.421003019145140911e+02 1.671871110657370000e+16
1.424338706983509724e+02 1.671963150328940000e+16
1.427674394821878536e+02 1.672027132239255600e+16
1.431010082660247633e+02 1.672063319521649400e+16
1.434345770498616446e+02 1.672071981192948200e+16
1.437681458336985258e+02 1.672053391958273600e+16
1.441017146175354071e+02 1.672007832014229600e+16
1.444352834013723168e+02 1.671935586850649600e+16
1.447688521852091981e+02 1.671836947051196800e+16
1.451024209690460793e+02 1.671712208092996000e+16
1.454359897528829890e+02 1.671561670145577600e+16
1.457695585367198703e+02 1.671385637869314600e+16
1.461031273205567516e+02 1.671184420213601600e+16
1.464366961043936328e+02 1.670958330214984800e+16
1.467702648882305141e+02 1.670707684795453600e+16
1.471038336720674238e+02 1.670432804561099400e+16
1.474374024559042766e+02 1.670134013601351000e+16
1.477709712397411863e+02 1.669811639288977400e+16
1.481045400235780960e+02 1.669466012081036600e+16
1.484381088074149488e+02 1.669097465321000000e+16
1.487716775912518585e+02 1.668706335042168600e+16
1.491052463750887114e+02 1.668292959772604000e+16
1.494388151589256211e+02 1.667857680341724000e+16
1.497723839427625308e+02 1.667400839688707200e+16
1.501059527265993836e+02 1.666922782672895200e+16
1.504395215104362933e+02 1.666423855886312000e+16
1.507730902942731461e+02 1.665904407468446400e+16
1.511066590781100558e+02 1.665364786923445000e+16
1.514402278619469655e+02 1.664805344939823200e+16
1.517737966457838183e+02 1.664226433212830800e+16
1.521073654296207280e+02 1.663628404269583400e+16
1.524409342134576093e+02 1.663011611297053600e+16
1.527745029972944906e+02 1.662376407973047200e+16
1.531080717811314003e+02 1.661723148300230200e+16
1.534416405649682815e+02 1.661052186443314600e+16
1.537752093488051628e+02 1.660363876569481600e+16
1.541087781326420441e+02 1.659658572692100000e+16
1.544423469164789253e+02 1.658936628517828800e+16
1.547759157003158350e+02 1.658198397297151600e+16
1.551094844841527163e+02 1.657444231678403600e+16
1.554430532679895975e+02 1.656674483565344600e+16
1.557766220518264788e+02 1.655889503978304600e+16
1.561101908356633885e+02 1.655089642918971200e+16
1.564437596195002413e+02 1.654275249238805600e+16
1.567773284033371510e+02 1.653446670511164600e+16
1.571108971871740323e+02 1.652604252907102000e+16
1.574444659710109136e+02 1.651748341074905200e+16
1.577780347548478233e+02 1.650879278023354800e+16
1.581116035386846761e+02 1.649997405008693400e+16
1.584451723225215858e+02 1.649103061425384200e+16
1.587787411063584955e+02 1.648196584700538600e+16
