# Material time functions for all couplings (staging adapter output)
# Criterion: F(k,t) = 0.1, corrected least-squares reconstruction
# Each column pair is (time_ps, xi) for one coupling.
#
t_0_ps xi_0 t_0p01_ps xi_0p01 t_0p016667_ps xi_0p016667 t_0p023333_ps xi_0p023333 t_0p03_ps xi_0p03
6.639290e+01 5.655596e-01 6.641380e+01 -7.809898e-03 6.633221e+01 2.683243e-01 6.642744e+01 1.405444e-01 6.643873e+01 7.571589e-02
6.757849e+01 5.754081e-01 6.759976e+01 -4.660328e-03 6.751671e+01 2.731074e-01 6.761364e+01 1.430685e-01 6.762514e+01 7.706014e-02
6.876408e+01 5.852566e-01 6.878572e+01 -1.510759e-03 6.870121e+01 2.778904e-01 6.879985e+01 1.455925e-01 6.881155e+01 7.840439e-02
6.994967e+01 5.951051e-01 6.997169e+01 1.638811e-03 6.988572e+01 2.826734e-01 6.998605e+01 1.481166e-01 6.999795e+01 7.974864e-02
7.113525e+01 6.049536e-01 7.115765e+01 4.788381e-03 7.107022e+01 2.874564e-01 7.117225e+01 1.506406e-01 7.118436e+01 8.109289e-02
7.232084e+01 6.148021e-01 7.234361e+01 7.937951e-03 7.225473e+01 2.922394e-01 7.235846e+01 1.531647e-01 7.237076e+01 8.243714e-02
7.350643e+01 6.246506e-01 7.352957e+01 1.108752e-02 7.343923e+01 2.970225e-01 7.354466e+01 1.556887e-01 7.355717e+01 8.378139e-02
7.469202e+01 6.344992e-01 7.471553e+01 1.423709e-02 7.462373e+01 3.018055e-01 7.473087e+01 1.582128e-01 7.474358e+01 8.512564e-02
7.587760e+01 6.443477e-01 7.590149e+01 1.738666e-02 7.580824e+01 3.065885e-01 7.591707e+01 1.607369e-01 7.592998e+01 8.646989e-02
7.706319e+01 6.541962e-01 7.708745e+01 2.053623e-02 7.699274e+01 3.113715e-01 7.710328e+01 1.632609e-01 7.711639e+01 8.781415e-02
7.824878e+01 6.640447e-01 7.827341e+01 2.368580e-02 7.817724e+01 3.161546e-01 7.828948e+01 1.657850e-01 7.830279e+01 8.915840e-02
7.943437e+01 6.738932e-01 7.945937e+01 2.683537e-02 7.936175e+01 3.209376e-01 7.947568e+01 1.683090e-01 7.948920e+01 9.050265e-02
8.061995e+01 6.837417e-01 8.064533e+01 2.998494e-02 8.054625e+01 3.257206e-01 8.066189e+01 1.708331e-01 8.067561e+01 9.184690e-02
8.180554e+01 6.935902e-01 8.183129e+01 3.313451e-02 8.173076e+01 3.305036e-01 8.184809e+01 1.733571e-01 8.186201e+01 9.319115e-02
8.299113e+01 7.034387e-01 8.301725e+01 3.628408e-02 8.291526e+01 3.352866e-01 8.303430e+01 1.758812e-01 8.304842e+01 9.453540e-02
8.417672e+01 7.132872e-01 8.420321e+01 3.943365e-02 8.409976e+01 3.400697e-01 8.422050e+01 1.784052e-01 8.423482e+01 9.587965e-02
