# Dipole autocorrelation data
# t0(ps) t(ps) C(t)
# Started at time 0.0 ps
0.000000 6.325000 1149.347325
0.000000 6.326000 1151.082483
0.000000 6.327000 1153.190783
0.000000 6.328000 1155.124926
0.000000 6.329000 1156.367110
0.000000 6.330000 1156.533362
0.000000 6.331000 1155.465039
0.000000 6.332000 1153.273231
0.000000 6.333000 1150.324703
0.000000 6.334000 1147.164761
0.000000 6.335000 1144.413352
0.000000 6.336000 1142.630965
0.000000 6.337000 1142.193745
0.000000 6.338000 1143.209170
0.000000 6.339000 1145.485424
0.000000 6.340000 1148.560753
0.000000 6.341000 1151.793183
0.000000 6.342000 1154.484900
0.000000 6.343000 1156.025116
0.000000 6.344000 1156.017345
0.000000 6.345000 1154.367828
0.000000 6.346000 1151.313426
0.000000 6.347000 1147.382751
0.000000 6.348000 1143.302478
0.000000 6.349000 1139.846451
0.000000 6.350000 1137.689105
0.000000 6.351000 1137.263333
0.000000 6.352000 1138.672167
0.000000 6.353000 1141.663249
0.000000 6.354000 1145.669455
0.000000 6.355000 1149.909458
0.000000 6.356000 1153.555115
0.000000 6.357000 1155.877217
0.000000 6.358000 1156.401147
0.000000 6.359000 1155.002479
0.000000 6.360000 1151.937219
0.000000 6.361000 1147.793751
0.000000 6.362000 1143.387439
0.000000 6.363000 1139.597088
0.000000 6.364000 1137.198913
0.000000 6.365000 1136.708650
0.000000 6.366000 1138.282801
0.000000 6.367000 1141.682166
0.000000 6.368000 1146.316012
0.000000 6.369000 1151.354965
0.000000 6.370000 1155.885407
0.000000 6.371000 1159.090602
0.000000 6.372000 1160.401690
0.000000 6.373000 1159.605885
0.000000 6.374000 1156.889385
0.000000 6.375000 1152.796841
0.000000 6.376000 1148.135895
0.000000 6.377000 1143.806895
0.000000 6.378000 1140.643681
0.000000 6.379000 1139.252664
0.000000 6.380000 1139.904960
0.000000 6.381000 1142.497168
0.000000 6.382000 1146.575804
0.000000 6.383000 1151.428240
0.000000 6.384000 1156.238625
0.000000 6.385000 1160.237293
0.000000 6.386000 1162.840481
0.000000 6.387000 1163.758769
0.000000 6.388000 1163.034862
0.000000 6.389000 1161.014521
0.000000 6.390000 1158.263012
0.000000 6.391000 1155.443671
0.000000 6.392000 1153.182479
0.000000 6.393000 1151.939837
0.000000 6.394000 1151.930363
0.000000 6.395000 1153.093456
0.000000 6.396000 1155.127594
0.000000 6.397000 1157.574368
0.000000 6.398000 1159.926338
0.000000 6.399000 1161.750180
0.000000 6.400000 1162.775440
0.000000 6.401000 1162.954935
0.000000 6.402000 1162.464303
0.000000 6.403000 1161.656002
0.000000 6.404000 1160.970419
0.000000 6.405000 1160.828721
0.000000 6.406000 1161.527392
0.000000 6.407000 1163.167140
0.000000 6.408000 1165.618453
0.000000 6.409000 1168.550671
0.000000 6.410000 1171.500691
0.000000 6.411000 1173.969792
0.000000 6.412000 1175.540770
0.000000 6.413000 1175.971647
0.000000 6.414000 1175.255975
0.000000 6.415000 1173.636689
0.000000 6.416000 1171.556596
0.000000 6.417000 1169.568557
0.000000 6.418000 1168.224686
0.000000 6.419000 1167.956594
0.000000 6.420000 1168.981206
0.000000 6.421000 1171.248057
0.000000 6.422000 1174.444976
0.000000 6.423000 1178.063963
0.000000 6.424000 1181.501740
0.000000 6.425000 1184.185877
0.000000 6.426000 1185.707946
0.000000 6.427000 1185.910829
0.000000 6.428000 1184.929961
0.000000 6.429000 1183.173635
0.000000 6.430000 1181.237997
0.000000 6.431000 1179.789865
0.000000 6.432000 1179.420516
0.000000 6.433000 1180.516699
0.000000 6.434000 1183.168411
0.000000 6.435000 1187.134645
0.000000 6.436000 1191.873444
0.000000 6.437000 1196.646643
0.000000 6.438000 1200.664262
0.000000 6.439000 1203.237481
0.000000 6.440000 1203.928136
0.000000 6.441000 1202.647952
0.000000 6.442000 1199.688756
0.000000 6.443000 1195.681270
0.000000 6.444000 1191.490403
0.000000 6.445000 1188.053659
0.000000 6.446000 1186.199375
0.000000 6.447000 1186.489162
0.000000 6.448000 1189.108723
0.000000 6.449000 1193.824074
0.000000 6.450000 1200.023731
0.000000 6.451000 1206.826959
0.000000 6.452000 1213.244837
0.000000 6.453000 1218.355902
0.000000 6.454000 1221.488129
0.000000 6.455000 1222.328336
0.000000 6.456000 1220.979869
0.000000 6.457000 1217.937960
0.000000 6.458000 1213.983055
0.000000 6.459000 1210.038572
0.000000 6.460000 1206.981451
0.000000 6.461000 1205.489143
0.000000 6.462000 1205.917241
0.000000 6.463000 1208.247258
0.000000 6.464000 1212.103044
0.000000 6.465000 1216.838947
0.000000 6.466000 1221.679080
0.000000 6.467000 1225.875701
0.000000 6.468000 1228.843225
0.000000 6.469000 1230.283086
0.000000 6.470000 1230.226848
0.000000 6.471000 1229.015832
0.000000 6.472000 1227.216451
0.000000 6.473000 1225.495623
0.000000 6.474000 1224.475749
0.000000 6.475000 1224.606957
0.000000 6.476000 1226.075300
0.000000 6.477000 1228.772838
0.000000 6.478000 1232.329976
0.000000 6.479000 1236.188559
0.000000 6.480000 1239.732656
0.000000 6.481000 1242.415599
0.000000 6.482000 1243.886255
0.000000 6.483000 1244.051916
0.000000 6.484000 1243.099074
0.000000 6.485000 1241.445036
0.000000 6.486000 1239.647117
0.000000 6.487000 1238.279996
0.000000 6.488000 1237.818957
0.000000 6.489000 1238.537456
0.000000 6.490000 1240.453205
0.000000 6.491000 1243.329372
0.000000 6.492000 1246.732891
0.000000 6.493000 1250.137605
0.000000 6.494000 1253.032571
0.000000 6.495000 1255.039690
0.000000 6.496000 1255.991854
0.000000 6.497000 1255.964997
0.000000 6.498000 1255.263679
0.000000 6.499000 1254.346239
0.000000 6.500000 1253.719920
0.000000 6.501000 1253.823650
