# frequency_cm-1 spectrum_au
1.175810194428961708e+01 8.483380106265215000e+15
1.184149273822074733e+01 8.529654194950572000e+15
1.192488353215187935e+01 8.576382590091537000e+15
1.200827432608301315e+01 8.623551307951311000e+15
1.209166512001414517e+01 8.671145472285822000e+15
1.217505591394527720e+01 8.719149301976208000e+15
1.225844670787640744e+01 8.767546099534768000e+15
1.234183750180753947e+01 8.816318240941357000e+15
1.242522829573867327e+01 8.865447166808900000e+15
1.250861908966980529e+01 8.914913375247314000e+15
1.259200988360093731e+01 8.964696416109253000e+15
1.267540067753206934e+01 9.014774887223928000e+15
1.275879147146319958e+01 9.065126432607404000e+15
1.284218226539433338e+01 9.115727742749240000e+15
1.292557305932546541e+01 9.166554557059256000e+15
1.300896385325659743e+01 9.217581668898978000e+15
1.309235464718772946e+01 9.268782933070462000e+15
1.317574544111885970e+01 9.320131275837898000e+15
1.325913623504999350e+01 9.371598708265318000e+15
1.334252702898112553e+01 9.423156341869380000e+15
1.342591782291225755e+01 9.474774407900438000e+15
1.350930861684338957e+01 9.526422279530918000e+15
1.359269941077451982e+01 9.578068497486380000e+15
1.367609020470565184e+01 9.629680799073264000e+15
1.375948099863678564e+01 9.681226150648214000e+15
1.384287179256791767e+01 9.732670783781730000e+15
1.392626258649904969e+01 9.783980234839642000e+15
1.400965338043017994e+01 9.835119388506526000e+15
1.409304417436131196e+01 9.886052524692288000e+15
1.417643496829244576e+01 9.936743369488764000e+15
1.425982576222357778e+01 9.987155149405002000e+15
1.434321655615470981e+01 1.003725064959555200e+16
1.442660735008584183e+01 1.008699227534584600e+16
1.450999814401697208e+01 1.013634211729976400e+16
1.459338893794810588e+01 1.018526201998270400e+16
1.467677973187923790e+01 1.023371365337823600e+16
1.476017052581036992e+01 1.028165858785501800e+16
1.484356131974150195e+01 1.032905837178158000e+16
1.492695211367263219e+01 1.037587461205487800e+16
1.501034290760376599e+01 1.042206905666630600e+16
1.509373370153489802e+01 1.046760367988769000e+16
1.517712449546603004e+01 1.051244076895885800e+16
1.526051528939716206e+01 1.055654301261539800e+16
1.534390608332829409e+01 1.059987359073113600e+16
1.542729687725942611e+01 1.064239626489197000e+16
1.551068767119055813e+01 1.068407546931542000e+16
1.559407846512169016e+01 1.072487640223012000e+16
1.567746925905282218e+01 1.076476511666215800e+16
1.576086005298395420e+01 1.080370861058849600e+16
1.584425084691508445e+01 1.084167491621909000e+16
1.592764164084621825e+01 1.087863318720933200e+16
1.601103243477734850e+01 1.091455378450622600e+16
1.609442322870848230e+01 1.094940835936257400e+16
1.617781402263961610e+01 1.098316993362919600e+16
1.626120481657074635e+01 1.101581297679972000e+16
1.634459561050187659e+01 1.104731347944328200e+16
1.642798640443301039e+01 1.107764902246018000e+16
1.651137719836414419e+01 1.110679884201230400e+16
1.659476799229527444e+01 1.113474388950415000e+16
1.667815878622640469e+01 1.116146688673316600e+16
1.676154958015753849e+01 1.118695237528730800e+16
1.684494037408866873e+01 1.121118676036380000e+16
1.692833116801980253e+01 1.123415834883413200e+16
1.701172196195093633e+01 1.125585738090479400e+16
1.709511275588206658e+01 1.127627605556315600e+16
1.717850354981319683e+01 1.129540854950343200e+16
1.726189434374433063e+01 1.131325102980282000e+16
1.734528513767546087e+01 1.132980165956638600e+16
1.742867593160659467e+01 1.134506059726983400e+16
1.751206672553772847e+01 1.135902998938706600e+16
1.759545751946885872e+01 1.137171395667258000e+16
1.767884831339998897e+01 1.138311857381450800e+16
1.776223910733112277e+01 1.139325184281599400e+16
1.784562990126225657e+01 1.140212366068799600e+16
1.792902069519338681e+01 1.140974578069009000e+16
1.801241148912452061e+01 1.141613176832760200e+16
1.809580228305565086e+01 1.142129695197016200e+16
1.817919307698678111e+01 1.142525836816217800e+16
1.826258387091791491e+01 1.142803470252895200e+16
1.834597466484904515e+01 1.142964622605139200e+16
1.842936545878017895e+01 1.143011472748994800e+16
1.851275625271130920e+01 1.142946344202967800e+16
1.859614704664244300e+01 1.142771697670020200e+16
1.867953784057357680e+01 1.142490123315753600e+16
1.876292863450470705e+01 1.142104332756070400e+16
1.884631942843584085e+01 1.141617150888169600e+16
1.892971022236697110e+01 1.141031507522306800e+16
1.901310101629810489e+01 1.140350428905604200e+16
1.909649181022923514e+01 1.139577029151693800e+16
1.917988260416036539e+01 1.138714501621745600e+16
1.926327339809149919e+01 1.137766110304207000e+16
1.934666419202262944e+01 1.136735181198892800e+16
1.943005498595376324e+01 1.135625093777923200e+16
1.951344577988489348e+01 1.134439272517532200e+16
1.959683657381602728e+01 1.133181178566968200e+16
1.968022736774716108e+01 1.131854301542295800e+16
1.976361816167829133e+01 1.130462151516238400e+16
1.984700895560942513e+01 1.129008251179642200e+16
1.993039974954055538e+01 1.127496128240002200e+16
2.001379054347168918e+01 1.125929308032953000e+16
2.009718133740281942e+01 1.124311306412067800e+16
2.018057213133394967e+01 1.122645622888743600e+16
2.026396292526508347e+01 1.120935734040981600e+16
2.034735371919621372e+01 1.119185087233565000e+16
2.043074451312735107e+01 1.117397094615667200e+16
2.051413530705848132e+01 1.115575127431806600e+16
