# frequency_cm-1 spectrum_au
2.301585912499243847e+01 7.094781546471264000e+15
2.309924991892357582e+01 7.095305650231905000e+15
2.318264071285470607e+01 7.096347245308644000e+15
2.326603150678583631e+01 7.097898564474958000e+15
2.334942230071697011e+01 7.099951662344320000e+15
2.343281309464810036e+01 7.102498409581838000e+15
2.351620388857923416e+01 7.105530486893709000e+15
2.359959468251036441e+01 7.109039378934880000e+15
2.368298547644149465e+01 7.113016368029491000e+15
2.376637627037262845e+01 7.117452527842476000e+15
2.384976706430375870e+01 7.122338717002188000e+15
2.393315785823489605e+01 7.127665572634357000e+15
2.401654865216602630e+01 7.133423503930247000e+15
2.409993944609715655e+01 7.139602685645645000e+15
2.418333024002829035e+01 7.146193051739912000e+15
2.426672103395942059e+01 7.153184288952494000e+15
2.435011182789055439e+01 7.160565830581712000e+15
2.443350262182168464e+01 7.168326850291879000e+15
2.451689341575281489e+01 7.176456256130466000e+15
2.460028420968394869e+01 7.184942684738481000e+15
2.468367500361507894e+01 7.193774495678443000e+15
2.476706579754621629e+01 7.202939766164817000e+15
2.485045659147734654e+01 7.212426285943259000e+15
2.493384738540847678e+01 7.222221552562919000e+15
2.501723817933961058e+01 7.232312767045823000e+15
2.510062897327074083e+01 7.242686829848213000e+15
2.518401976720187463e+01 7.253330337337438000e+15
2.526741056113300488e+01 7.264229578766054000e+15
2.535080135506413868e+01 7.275370533750984000e+15
2.543419214899526892e+01 7.286738870236679000e+15
2.551758294292639917e+01 7.298319943200659000e+15
2.560097373685753652e+01 7.310098793931280000e+15
2.568436453078866677e+01 7.322060149994307000e+15
2.576775532471980057e+01 7.334188425978153000e+15
2.585114611865093082e+01 7.346467724968167000e+15
2.593453691258206106e+01 7.358881840943154000e+15
2.601792770651319486e+01 7.371414261866154000e+15
2.610131850044432511e+01 7.384048173875615000e+15
2.618470929437545891e+01 7.396766466281431000e+15
2.626810008830658916e+01 7.409551737656591000e+15
2.635149088223771940e+01 7.422386302863954000e+15
2.643488167616885320e+01 7.435252201197044000e+15
2.651827247009998700e+01 7.448131205602958000e+15
2.660166326403112080e+01 7.461004833050148000e+15
2.668505405796225105e+01 7.473854356062833000e+15
2.676844485189338130e+01 7.486660815348231000e+15
2.685183564582451510e+01 7.499405033737118000e+15
2.693522643975564534e+01 7.512067631380958000e+15
2.701861723368677914e+01 7.524629041972551000e+15
2.710200802761790939e+01 7.537069530485366000e+15
