# Energy tracking
# Output period: 100 steps
# Max timesteps: 29444
# timestep time(ps) kinetic_energy cavity_energy lj_energy temperature total_energy
10700 4.440198 0.244019 0.000435 -0.714506 102.529137 -0.470052
10800 4.508781 0.278854 0.000442 -0.701905 117.165577 -0.422609
10900 4.584015 0.306037 0.000391 -0.714790 128.586945 -0.408362
11000 4.665764 0.272683 0.000291 -0.718087 114.572845 -0.445112
11100 4.739101 0.218445 0.000181 -0.715629 91.783601 -0.497003
11200 4.806899 0.338331 0.000249 -0.701037 142.156009 -0.362457
11300 4.902444 0.241658 0.000175 -0.706255 101.537076 -0.464421
11400 4.976087 0.308821 0.000312 -0.716202 129.756860 -0.407069
11500 5.059355 0.209249 0.000298 -0.703970 87.919548 -0.494424
11600 5.127979 0.335353 0.000156 -0.693959 140.904635 -0.358450
11700 5.220053 0.321880 0.000101 -0.704265 135.243670 -0.382284
11800 5.307807 0.262376 0.000309 -0.702320 110.242059 -0.439635
11900 5.384297 0.346270 0.000263 -0.706772 145.491596 -0.360239
12000 5.479996 0.245862 0.000189 -0.713435 103.303450 -0.467384
12100 5.556730 0.265280 0.000205 -0.707133 111.462323 -0.441647
12200 5.635159 0.252226 0.000178 -0.717901 105.977450 -0.465496
12300 5.709137 0.238907 0.000172 -0.721427 100.380961 -0.482348
12400 5.783133 0.317404 0.000179 -0.711751 133.363160 -0.394168
12500 5.873789 0.275864 0.000176 -0.702438 115.909075 -0.426398
12600 5.959341 0.286770 0.000166 -0.711683 120.491375 -0.424747
12700 6.046001 0.339222 0.000388 -0.713895 142.530385 -0.374285
12800 6.147627 0.264406 0.000187 -0.708554 111.094727 -0.443961
12900 6.226185 0.285421 0.000458 -0.709335 119.924800 -0.423456
13000 6.310372 0.318270 0.000450 -0.715781 133.726946 -0.397061
13100 6.405479 0.212150 0.000142 -0.720607 89.138578 -0.508316
13200 6.481486 0.319070 0.000338 -0.720993 134.063155 -0.401585
13300 6.576716 0.210746 0.000235 -0.720889 88.548526 -0.509909
13400 6.653615 0.286099 0.000313 -0.725979 120.209534 -0.439567
13500 6.740159 0.237356 0.000271 -0.710102 99.729292 -0.472476
13600 6.823548 0.319153 0.000172 -0.715025 134.097986 -0.395699
13700 6.920478 0.271605 0.000204 -0.708444 114.119562 -0.436635
13800 7.008817 0.320979 0.000340 -0.714741 134.865128 -0.393423
13900 7.106428 0.308895 0.000251 -0.720537 129.787601 -0.411392
14000 7.199164 0.319299 0.000279 -0.704264 134.159089 -0.384686
14100 7.302164 0.225231 0.000305 -0.712836 94.634957 -0.487301
14200 7.382721 0.258879 0.000420 -0.715641 108.772457 -0.456343
14300 7.470545 0.313266 0.000322 -0.718357 131.624156 -0.404770
14400 7.567756 0.227712 0.000526 -0.711914 95.677395 -0.483676
14500 7.650576 0.262383 0.000585 -0.713220 110.244727 -0.450253
14600 7.736419 0.241831 0.000336 -0.715214 101.609722 -0.473047
14700 7.820065 0.326658 0.000349 -0.710017 137.251350 -0.383009
14800 7.926932 0.306119 0.000310 -0.704231 128.621270 -0.397803
14900 8.028471 0.218451 0.000433 -0.721313 91.786215 -0.502430
15000 8.111685 0.294536 0.000341 -0.715878 123.754507 -0.421002
15100 8.208276 0.223649 0.000241 -0.715667 93.970071 -0.491777
15200 8.293606 0.224021 0.000295 -0.724340 94.126484 -0.500024
15300 8.378457 0.195884 0.000485 -0.720317 82.304365 -0.523947
15400 8.461506 0.283871 0.000376 -0.710496 119.273396 -0.426250
15500 8.556265 0.233559 0.000273 -0.711895 98.133817 -0.478063
15600 8.645932 0.291463 0.000556 -0.712335 122.463582 -0.420316
15700 8.742575 0.228062 0.000298 -0.710671 95.824173 -0.482311
15800 8.831353 0.307897 0.000098 -0.724768 129.368255 -0.416774
15900 8.932000 0.248867 0.000084 -0.721939 104.565799 -0.472988
16000 9.020506 0.241916 0.000345 -0.712384 101.645337 -0.470123
16100 9.113297 0.280066 0.000124 -0.727718 117.674636 -0.447528
16200 9.210723 0.204256 0.000450 -0.710151 85.821804 -0.505444
16300 9.296438 0.206501 0.000065 -0.719058 86.765125 -0.512492
16400 9.382360 0.206900 0.000200 -0.722374 86.932949 -0.515273
16500 9.469395 0.263509 0.000134 -0.715344 110.717940 -0.451702
16600 9.566792 0.221406 0.000281 -0.717190 93.027749 -0.495503
16700 9.656855 0.300558 0.000242 -0.707086 126.284981 -0.406286
16800 9.761603 0.308020 0.000025 -0.709515 129.420075 -0.401471
16900 9.873442 0.218514 0.000195 -0.717937 91.812530 -0.499228
17000 9.964045 0.247588 0.000252 -0.714369 104.028478 -0.466529
17100 10.059326 0.276289 0.000052 -0.706819 116.087733 -0.430478
17200 10.162268 0.241622 0.000242 -0.708104 101.521894 -0.466240
17300 10.256216 0.220798 0.000168 -0.715916 92.772432 -0.494950
17400 10.345884 0.298412 0.000234 -0.709484 125.383344 -0.410838
17500 10.456349 0.240020 0.000072 -0.716265 100.848609 -0.476173
17600 10.553800 0.240027 0.000144 -0.705040 100.851477 -0.464870
17700 10.648256 0.241989 0.000051 -0.723963 101.676112 -0.481923
17800 10.745850 0.250885 0.000033 -0.719933 105.413787 -0.469015
17900 10.841091 0.256366 0.000175 -0.720715 107.716926 -0.464174
18000 10.942012 0.286931 0.000134 -0.718073 120.559271 -0.431008
18100 11.049975 0.299371 0.000219 -0.720125 125.785916 -0.420534
18200 11.158393 0.241484 0.000195 -0.716994 101.464014 -0.475315
18300 11.255782 0.310644 0.000226 -0.715992 130.522680 -0.405122
18400 11.370031 0.275862 0.000198 -0.710147 115.908252 -0.434087
18500 11.473418 0.244648 0.000098 -0.722457 102.793054 -0.477712
18600 11.573495 0.286427 0.000074 -0.720559 120.347376 -0.434058
18700 11.683327 0.263002 0.000053 -0.714850 110.505193 -0.451795
18800 11.783534 0.220310 0.000121 -0.716730 92.567225 -0.496299
18900 11.877863 0.235065 0.000170 -0.715774 98.766775 -0.480539
19000 11.975812 0.235130 0.000123 -0.722747 98.794009 -0.487495
19100 12.070613 0.252251 0.000139 -0.715290 105.987746 -0.462900
19200 12.173041 0.287762 0.000146 -0.713131 120.908401 -0.425223
19300 12.282150 0.228709 0.000138 -0.717217 96.096325 -0.488370
19400 12.379837 0.256867 0.000091 -0.713812 107.927379 -0.456853
19500 12.478975 0.263378 0.000066 -0.721942 110.662891 -0.458498
19600 12.582158 0.251779 0.000091 -0.717386 105.789669 -0.465515
19700 12.685245 0.273154 0.000113 -0.718257 114.770738 -0.444990
19800 12.790460 0.298073 0.000145 -0.706641 125.240683 -0.408423
19900 12.904984 0.262321 0.000121 -0.716818 110.218762 -0.454376
20000 13.008820 0.272951 0.000215 -0.719548 114.685117 -0.446382
20100 13.118158 0.254483 0.000225 -0.716579 106.925459 -0.461871
20200 13.221300 0.255648 0.000119 -0.720050 107.415235 -0.464282
20300 13.328057 0.258599 0.000086 -0.709735 108.654852 -0.451050
20400 13.437082 0.279850 0.000104 -0.716920 117.584106 -0.436965
20500 13.545406 0.222803 0.000243 -0.715538 93.614712 -0.492493
20600 13.644907 0.237233 0.000340 -0.715369 99.677777 -0.477795
20700 13.746747 0.240305 0.000175 -0.709499 100.968435 -0.469019
20800 13.852599 0.229049 0.000301 -0.711747 96.239120 -0.482398
20900 13.955448 0.289031 0.000211 -0.723276 121.441417 -0.434034
21000 14.070412 0.243321 0.000233 -0.722715 102.235760 -0.479161
21100 14.174133 0.279435 0.000332 -0.719852 117.409656 -0.440084
21200 14.289394 0.262284 0.000400 -0.712235 110.203179 -0.449552
21300 14.398501 0.219530 0.000223 -0.720804 92.239289 -0.501051
21400 14.501493 0.288108 0.000279 -0.720763 121.053923 -0.432376
21500 14.616440 0.253919 0.000218 -0.714107 106.688556 -0.459971
21600 14.724245 0.224607 0.000398 -0.718312 94.372473 -0.493307
21700 14.827311 0.279552 0.000391 -0.725199 117.458844 -0.445256
21800 14.945899 0.237033 0.000412 -0.719825 99.593608 -0.482380
21900 15.054737 0.282627 0.000311 -0.722367 118.751002 -0.439428
22000 15.171455 0.220119 0.000229 -0.718108 92.487079 -0.497760
22100 15.276286 0.252699 0.000303 -0.715748 106.176107 -0.462746
22200 15.385292 0.227528 0.000534 -0.717270 95.599893 -0.489208
22300 15.491825 0.227731 0.000548 -0.722079 95.685332 -0.493800
22400 15.598875 0.233456 0.000494 -0.719166 98.090724 -0.485217
22500 15.708273 0.283530 0.000715 -0.727026 119.130173 -0.442781
22600 15.823972 0.225519 0.000631 -0.721723 94.755849 -0.495573
22700 15.929061 0.265230 0.000322 -0.722928 111.440973 -0.457377
22800 16.041075 0.272720 0.000336 -0.709959 114.588158 -0.436903
22900 16.159481 0.233997 0.000178 -0.713072 98.318089 -0.478897
23000 16.270959 0.224484 0.000678 -0.716991 94.321079 -0.491828
23100 16.376877 0.239561 0.000585 -0.723122 100.656031 -0.482976
23200 16.484371 0.224456 0.000582 -0.723193 94.309423 -0.498155
23300 16.590882 0.223473 0.000423 -0.717537 93.896401 -0.493641
23400 16.697772 0.223893 0.000224 -0.723509 94.072808 -0.499392
23500 16.805136 0.227550 0.000188 -0.723126 95.609220 -0.495388
23600 16.915689 0.261846 0.000674 -0.726825 110.019183 -0.464305
